dataset,file,orig_path,proc_path,pesq_wb,lag_samples_16k,status,error
stft_shuffle_enc,11,../dataset/test_sounds/test_sound11.wav,../transforms/stft/assets/encrypted/shuffle/test_sound11_shuffle_enc.wav,1.530252456665039,998,ok,
stft_shuffle_enc,12,../dataset/test_sounds/test_sound12.wav,../transforms/stft/assets/encrypted/shuffle/test_sound12_shuffle_enc.wav,1.430375576019287,228,ok,
stft_shuffle_enc,13,../dataset/test_sounds/test_sound13.wav,../transforms/stft/assets/encrypted/shuffle/test_sound13_shuffle_enc.wav,1.0281651020050049,-109,ok,
stft_shuffle_enc,14,../dataset/test_sounds/test_sound14.wav,../transforms/stft/assets/encrypted/shuffle/test_sound14_shuffle_enc.wav,1.214733600616455,-792,ok,
stft_shuffle_enc,15,../dataset/test_sounds/test_sound15.wav,../transforms/stft/assets/encrypted/shuffle/test_sound15_shuffle_enc.wav,1.0360805988311768,-1063,ok,
stft_shuffle_enc,16,../dataset/test_sounds/test_sound16.wav,../transforms/stft/assets/encrypted/shuffle/test_sound16_shuffle_enc.wav,1.097580909729004,819,ok,
stft_shuffle_enc,17,../dataset/test_sounds/test_sound17.wav,../transforms/stft/assets/encrypted/shuffle/test_sound17_shuffle_enc.wav,1.0529131889343262,-959,ok,
stft_shuffle_enc,18,../dataset/test_sounds/test_sound18.wav,../transforms/stft/assets/encrypted/shuffle/test_sound18_shuffle_enc.wav,1.0457346439361572,-848,ok,
stft_shuffle_enc,19,../dataset/test_sounds/test_sound19.wav,../transforms/stft/assets/encrypted/shuffle/test_sound19_shuffle_enc.wav,1.0379225015640259,-419,ok,
stft_shuffle_enc,20,../dataset/test_sounds/test_sound20.wav,../transforms/stft/assets/encrypted/shuffle/test_sound20_shuffle_enc.wav,1.0324506759643555,129,ok,
stft_shuffle_enc,21,../dataset/test_sounds/test_sound21.wav,../transforms/stft/assets/encrypted/shuffle/test_sound21_shuffle_enc.wav,1.1851825714111328,275,ok,
stft_shuffle_enc,22,../dataset/test_sounds/test_sound22.wav,../transforms/stft/assets/encrypted/shuffle/test_sound22_shuffle_enc.wav,1.054748773574829,253,ok,
stft_shuffle_enc,23,../dataset/test_sounds/test_sound23.wav,../transforms/stft/assets/encrypted/shuffle/test_sound23_shuffle_enc.wav,1.2082390785217285,1105,ok,
stft_invert_dec,1,../dataset/test_sounds/test_sound1.wav,../transforms/stft/assets/decrypted/invert/test_sound1_invert_dec.wav,4.642862319946289,0,ok,
stft_invert_dec,2,../dataset/test_sounds/test_sound2.wav,../transforms/stft/assets/decrypted/invert/test_sound2_invert_dec.wav,4.641692638397217,0,ok,
stft_invert_dec,3,../dataset/test_sounds/test_sound3.wav,../transforms/stft/assets/decrypted/invert/test_sound3_invert_dec.wav,4.641731262207031,0,ok,
stft_invert_dec,4,../dataset/test_sounds/test_sound4.wav,../transforms/stft/assets/decrypted/invert/test_sound4_invert_dec.wav,4.642540454864502,0,ok,
stft_invert_dec,5,../dataset/test_sounds/test_sound5.wav,../transforms/stft/assets/decrypted/invert/test_sound5_invert_dec.wav,4.642677307128906,0,ok,
stft_invert_dec,6,../dataset/test_sounds/test_sound6.wav,../transforms/stft/assets/decrypted/invert/test_sound6_invert_dec.wav,4.642454147338867,0,ok,
stft_invert_dec,7,../dataset/test_sounds/test_sound7.wav,../transforms/stft/assets/decrypted/invert/test_sound7_invert_dec.wav,4.64230489730835,0,ok,
stft_invert_dec,8,../dataset/test_sounds/test_sound8.wav,../transforms/stft/assets/decrypted/invert/test_sound8_invert_dec.wav,4.642350673675537,0,ok,
stft_invert_dec,9,../dataset/test_sounds/test_sound9.wav,../transforms/stft/assets/decrypted/invert/test_sound9_invert_dec.wav,4.640902996063232,0,ok,
stft_invert_dec,10,../dataset/test_sounds/test_sound10.wav,../transforms/stft/assets/decrypted/invert/test_sound10_invert_dec.wav,4.6427788734436035,0,ok,
stft_invert_dec,11,../dataset/test_sounds/test_sound11.wav,../transforms/stft/assets/decrypted/invert/test_sound11_invert_dec.wav,4.642465591430664,0,ok,
stft_invert_dec,12,../dataset/test_sounds/test_sound12.wav,../transforms/stft/assets/decrypted/invert/test_sound12_invert_dec.wav,4.640537738800049,0,ok,
stft_invert_dec,13,../dataset/test_sounds/test_sound13.wav,../transforms/stft/assets/decrypted/invert/test_sound13_invert_dec.wav,4.641708850860596,0,ok,
stft_invert_dec,14,../dataset/test_sounds/test_sound14.wav,../transforms/stft/assets/decrypted/invert/test_sound14_invert_dec.wav,4.641922473907471,0,ok,
stft_invert_dec,15,../dataset/test_sounds/test_sound15.wav,../transforms/stft/assets/decrypted/invert/test_sound15_invert_dec.wav,4.642920017242432,0,ok,
stft_invert_dec,16,../dataset/test_sounds/test_sound16.wav,../transforms/stft/assets/decrypted/invert/test_sound16_invert_dec.wav,4.642662525177002,0,ok,
stft_invert_dec,17,../dataset/test_sounds/test_sound17.wav,../transforms/stft/assets/decrypted/invert/test_sound17_invert_dec.wav,4.643057823181152,0,ok,
stft_invert_dec,18,../dataset/test_sounds/test_sound18.wav,../transforms/stft/assets/decrypted/invert/test_sound18_invert_dec.wav,4.642282009124756,0,ok,
stft_invert_dec,19,../dataset/test_sounds/test_sound19.wav,../transforms/stft/assets/decrypted/invert/test_sound19_invert_dec.wav,4.641822338104248,0,ok,
stft_invert_dec,20,../dataset/test_sounds/test_sound20.wav,../transforms/stft/assets/decrypted/invert/test_sound20_invert_dec.wav,4.641926288604736,0,ok,
stft_invert_dec,21,../dataset/test_sounds/test_sound21.wav,../transforms/stft/assets/decrypted/invert/test_sound21_invert_dec.wav,4.639790058135986,0,ok,
stft_invert_dec,22,../dataset/test_sounds/test_sound22.wav,../transforms/stft/assets/decrypted/invert/test_sound22_invert_dec.wav,4.639914512634277,0,ok,
stft_invert_dec,23,../dataset/test_sounds/test_sound23.wav,../transforms/stft/assets/decrypted/invert/test_sound23_invert_dec.wav,4.641329288482666,0,ok,
stft_shuffle_dec,1,../dataset/test_sounds/test_sound1.wav,../transforms/stft/assets/decrypted/shuffle/test_sound1_shuffle_dec.wav,4.642862319946289,0,ok,
stft_shuffle_dec,2,../dataset/test_sounds/test_sound2.wav,../transforms/stft/assets/decrypted/shuffle/test_sound2_shuffle_dec.wav,4.641692638397217,0,ok,
stft_shuffle_dec,3,../dataset/test_sounds/test_sound3.wav,../transforms/stft/assets/decrypted/shuffle/test_sound3_shuffle_dec.wav,4.641731262207031,0,ok,
stft_shuffle_dec,4,../dataset/test_sounds/test_sound4.wav,../transforms/stft/assets/decrypted/shuffle/test_sound4_shuffle_dec.wav,4.642540454864502,0,ok,
stft_shuffle_dec,5,../dataset/test_sounds/test_sound5.wav,../transforms/stft/assets/decrypted/shuffle/test_sound5_shuffle_dec.wav,4.642677307128906,0,ok,
stft_shuffle_dec,6,../dataset/test_sounds/test_sound6.wav,../transforms/stft/assets/decrypted/shuffle/test_sound6_shuffle_dec.wav,4.642454147338867,0,ok,
